Tag title,HD folder,Geographical coordinates
Costa Rica/Colima de Tibás/Familia/Despedida previa viaje Europa 2008,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Despedida previa viaje Europa 2008/,9.9501;-84.073
Costa Rica/Colima de Tibás/Familia/Dia del Padre 2005,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Dia del Padre 2005/,9.9501;-84.073
Costa Rica/Colima de Tibás/Familia/Esperanza,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Esperanza/,9.9501;-84.073
Costa Rica/Colima de Tibás/Familia/Fin de ano 2004,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Fin de ano 2004/,9.9501;-84.073
Costa Rica/Colima de Tibás/Familia/Fotos de Felipillo/Cerro la carpintera,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Fotos de Felipillo/Cerro la carpintera/,9.9501;-84.073
Costa Rica/Colima de Tibás/Familia/Fotos de Felipillo/TUCURRIQUE/finca,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Fotos de Felipillo/TUCURRIQUE/finca/,9.9501;-84.073
Costa Rica/Colima de Tibás/Familia/Fotos de Felipillo/TUCURRIQUE/videos,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Fotos de Felipillo/TUCURRIQUE/videos/,9.9501;-84.073
Costa Rica/Colima de Tibás/Familia/Fotos de Felipillo/perros,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Fotos de Felipillo/perros/,9.9501;-84.073
Costa Rica/Colima de Tibás/Familia/Fotos de Felipillo/pinturas ili,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Fotos de Felipillo/pinturas ili/,9.9501;-84.073
Costa Rica/Colima de Tibás/Familia/Jose Chinchilla,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Jose Chinchilla/,9.9501;-84.073
Costa Rica/Colima de Tibás/Familia/Juan Guillen,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Juan Guillen/,9.9501;-84.073
Costa Rica/Colima de Tibás/Familia/Katherine,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Katherine/,9.9501;-84.073
Costa Rica/Colima de Tibás/Familia/Llegada Compu Dell Inspiron1300,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Llegada Compu Dell Inspiron1300/,9.9501;-84.073
Costa Rica/Colima de Tibás/Familia/Llegada Katherine aeropuerto,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Llegada Katherine aeropuerto/,9.9501;-84.073
Costa Rica/Colima de Tibás/Familia/Mascotas/Bruno,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Mascotas/Bruno/,9.9501;-84.073
Costa Rica/Colima de Tibás/Familia/Mascotas/Bruno - Cumpleaños 1,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Mascotas/Bruno - Cumpleaños 1/,9.9501;-84.073
Costa Rica/Colima de Tibás/Familia/Mascotas/Bruno dia soleado,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Mascotas/Bruno dia soleado/,9.9501;-84.073
Costa Rica/Colima de Tibás/Familia/Mascotas/Bruno en la casa,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Mascotas/Bruno en la casa/,9.9501;-84.073
Costa Rica/Colima de Tibás/Familia/Mascotas/Bruno y Sider,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Mascotas/Bruno y Sider/,9.9501;-84.073
Costa Rica/Colima de Tibás/Familia/Mascotas/Bruno y Susi,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Mascotas/Bruno y Susi/,9.9501;-84.073
Costa Rica/Colima de Tibás/Familia/Mascotas/Bruno y Yaco enamorado,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Mascotas/Bruno y Yaco enamorado/,9.9501;-84.073
Costa Rica/Colima de Tibás/Familia/Mascotas/Bruno y juguete rojo,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Mascotas/Bruno y juguete rojo/,9.9501;-84.073
Costa Rica/Colima de Tibás/Familia/Mascotas/Bruno y su crecimiento,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Mascotas/Bruno y su crecimiento/,9.9501;-84.073
Costa Rica/Colima de Tibás/Familia/Mascotas/Bruno y su llegada,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Mascotas/Bruno y su llegada/,9.9501;-84.073
"Costa Rica/Colima de Tibás/Familia/Mascotas/Bruno, Susi y Fer","/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Mascotas/Bruno, Susi y Fer/",9.9501;-84.073
"Costa Rica/Colima de Tibás/Familia/Mascotas/Bruno, Susi y Oso navidad 2006","/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Mascotas/Bruno, Susi y Oso navidad 2006/",9.9501;-84.073
"Costa Rica/Colima de Tibás/Familia/Mascotas/Bruno, Susi y Yaco","/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Mascotas/Bruno, Susi y Yaco/",9.9501;-84.073
"Costa Rica/Colima de Tibás/Familia/Mascotas/Bruno, Susi, Oso, Rosibel","/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Mascotas/Bruno, Susi, Oso, Rosibel/",9.9501;-84.073
Costa Rica/Colima de Tibás/Familia/Mascotas/Gallinas/Pollas,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Mascotas/Gallinas/Pollas/,9.9501;-84.073
Costa Rica/Colima de Tibás/Familia/Mascotas/Gallinas/Pollita cacareando,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Mascotas/Gallinas/Pollita cacareando/,9.9501;-84.073
Costa Rica/Colima de Tibás/Familia/Mascotas/Gallinas/Pollitos,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Mascotas/Gallinas/Pollitos/,9.9501;-84.073
Costa Rica/Colima de Tibás/Familia/Mascotas/Gallinas/Primer huevo de la Cuocuo,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Mascotas/Gallinas/Primer huevo de la Cuocuo/,9.9501;-84.073
Costa Rica/Colima de Tibás/Familia/Mascotas/Gallinas/Primer huevo de la polla,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Mascotas/Gallinas/Primer huevo de la polla/,9.9501;-84.073
Costa Rica/Colima de Tibás/Familia/Mascotas/Puky y Rosibel,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Mascotas/Puky y Rosibel/,9.9501;-84.073
Costa Rica/Colima de Tibás/Familia/Mascotas/Susi,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Mascotas/Susi/,9.9501;-84.073
Costa Rica/Colima de Tibás/Familia/Mascotas/Susi y Adrian,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Mascotas/Susi y Adrian/,9.9501;-84.073
Costa Rica/Colima de Tibás/Familia/Mascotas/Susi y su llegada,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Mascotas/Susi y su llegada/,9.9501;-84.073
Costa Rica/Colima de Tibás/Familia/Mascotas/Yaco navideño 2006,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Mascotas/Yaco navideño 2006/,9.9501;-84.073
Costa Rica/Colima de Tibás/Familia/Mascotas/Yaco/Yaco Navideño,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Mascotas/Yaco/Yaco Navideño/,9.9501;-84.073
Costa Rica/Colima de Tibás/Familia/Mascotas/Yaco/casa,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Mascotas/Yaco/casa/,9.9501;-84.073
Costa Rica/Colima de Tibás/Familia/Melania,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Melania/,9.9501;-84.073
Costa Rica/Colima de Tibás/Familia/Melania en la casa,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Melania en la casa/,9.9501;-84.073
Costa Rica/Colima de Tibás/Familia/Melania y Rosibel,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Melania y Rosibel/,9.9501;-84.073
Costa Rica/Colima de Tibás/Familia/Navidad 2005,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Navidad 2005/,9.9501;-84.073
Costa Rica/Colima de Tibás/Familia/Navidad 2006/Tamales 2006,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Navidad 2006/Tamales 2006/,9.9501;-84.073
Costa Rica/Colima de Tibás/Familia/Navidad 2006/casa,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Navidad 2006/casa/,9.9501;-84.073
Costa Rica/Colima de Tibás/Familia/Olman,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Olman/,9.9501;-84.073
Costa Rica/Colima de Tibás/Familia/Paseo en tren a la tica,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Paseo en tren a la tica/,9.9501;-84.073
Costa Rica/Colima de Tibás/Familia/Patio de la casa,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Patio de la casa/,9.9501;-84.073
Costa Rica/Colima de Tibás/Familia/Pintando la casa,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Pintando la casa/,9.9501;-84.073
Costa Rica/Colima de Tibás/Familia/Rancho tipico,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Rancho tipico/,9.9501;-84.073
Costa Rica/Colima de Tibás/Familia/Sider final,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Sider final/,9.9501;-84.073
Costa Rica/Colima de Tibás/Familia/Sider partiendo leña,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Sider partiendo leña/,9.9501;-84.073
"Costa Rica/Colima de Tibás/Familia/Sider, Yaco y Bruno","/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Sider, Yaco y Bruno/",9.9501;-84.073
Costa Rica/Colima de Tibás/Familia/Visita de Macho,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Visita de Macho/,9.9501;-84.073
Costa Rica/Colima de Tibás/Orquídeas propias/Chiclosa,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Orquídeas propias/Chiclosa/,9.9501;-84.073
Costa Rica/Colima de Tibás/Orquídeas propias/Dobladas verdes,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Orquídeas propias/Dobladas verdes/,9.9501;-84.073
Costa Rica/Colima de Tibás/Orquídeas propias/Flor en raiz,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Orquídeas propias/Flor en raiz/,9.9501;-84.073
Costa Rica/Colima de Tibás/Orquídeas propias/Guarion,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Orquídeas propias/Guarion/,9.9501;-84.073
Costa Rica/Colima de Tibás/Orquídeas propias/Lila,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Orquídeas propias/Lila/,9.9501;-84.073
Costa Rica/Colima de Tibás/Orquídeas propias/Morada,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Orquídeas propias/Morada/,9.9501;-84.073
Costa Rica/Colima de Tibás/Orquídeas propias/Plumita,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Orquídeas propias/Plumita/,9.9501;-84.073
Costa Rica/Colima de Tibás/Orquídeas propias/Torito,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Orquídeas propias/Torito/,9.9501;-84.073
Costa Rica/Colima de Tibás/Orquídeas propias/Turrialbeña,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Orquídeas propias/Turrialbeña/,9.9501;-84.073
Costa Rica/Colima de Tibás/Orquídeas propias/rancho,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Orquídeas propias/rancho/,9.9501;-84.073
Costa Rica/Colima de Tibás/Reformas/Apartamentos,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Reformas/Apartamentos/,9.9501;-84.073
Costa Rica/Colima de Tibás/Reformas/Casa arreglos,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Reformas/Casa arreglos/,9.9501;-84.073
Costa Rica/Colima de Tibás/Visitas Fernando/Visita Abril 2018,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Visitas Fernando/Visita Abril 2018/,9.9501;-84.073
Costa Rica/Colima de Tibás/Visitas Fernando/Visita Agosto 2018/Arreglos,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Visitas Fernando/Visita Agosto 2018/Arreglos/,9.9501;-84.073
Costa Rica/Colima de Tibás/Visitas Fernando/Visita Agosto 2018/Camera,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Visitas Fernando/Visita Agosto 2018/Camera/,9.9501;-84.073
Costa Rica/Colima de Tibás/Visitas Fernando/Visita Agosto 2018/Compras,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Visitas Fernando/Visita Agosto 2018/Compras/,9.9501;-84.073
Costa Rica/Colima de Tibás/Visitas Fernando/Visita Agosto 2018/Despues,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Visitas Fernando/Visita Agosto 2018/Despues/,9.9501;-84.073
Costa Rica/Colima de Tibás/Visitas Fernando/Visita Agosto 2019 - David/CR1,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Visitas Fernando/Visita Agosto 2019 - David/CR1/,9.9501;-84.073
Costa Rica/Colima de Tibás/Visitas Fernando/Visita Agosto 2019 - David/CR2,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Visitas Fernando/Visita Agosto 2019 - David/CR2/,9.9501;-84.073
Costa Rica/Colima de Tibás/Visitas Fernando/Visita Agosto 2019 - David/CR3,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Visitas Fernando/Visita Agosto 2019 - David/CR3/,9.9501;-84.073
Costa Rica/Colima de Tibás/Visitas Fernando/Visita Diciembre 2010/Celular Monica 1,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Visitas Fernando/Visita Diciembre 2010/Celular Monica 1/,9.9501;-84.073
Costa Rica/Colima de Tibás/Visitas Fernando/Visita Diciembre 2010/Celular Monica 2,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Visitas Fernando/Visita Diciembre 2010/Celular Monica 2/,9.9501;-84.073
Costa Rica/Colima de Tibás/Visitas Fernando/Visita Diciembre 2010/Fotos1a,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Visitas Fernando/Visita Diciembre 2010/Fotos1a/,9.9501;-84.073
Costa Rica/Colima de Tibás/Visitas Fernando/Visita Diciembre 2010/Fotos2,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Visitas Fernando/Visita Diciembre 2010/Fotos2/,9.9501;-84.073
Costa Rica/Colima de Tibás/Visitas Fernando/Visita Diciembre 2010/Fotos3,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Visitas Fernando/Visita Diciembre 2010/Fotos3/,9.9501;-84.073
Costa Rica/Colima de Tibás/Visitas Fernando/Visita Diciembre 2010/Fotos4,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Visitas Fernando/Visita Diciembre 2010/Fotos4/,9.9501;-84.073
Costa Rica/Colima de Tibás/Visitas Fernando/Visita Diciembre 2010/Fotos5,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Visitas Fernando/Visita Diciembre 2010/Fotos5/,9.9501;-84.073
Costa Rica/Colima de Tibás/Visitas Fernando/Visita Diciembre 2010/Fotos6,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Visitas Fernando/Visita Diciembre 2010/Fotos6/,9.9501;-84.073
Costa Rica/Colima de Tibás/Visitas Fernando/Visita Diciembre 2013/Apuntes,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Visitas Fernando/Visita Diciembre 2013/Apuntes/,9.9501;-84.073
Costa Rica/Colima de Tibás/Visitas Fernando/Visita Diciembre 2013/Casa,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Visitas Fernando/Visita Diciembre 2013/Casa/,9.9501;-84.073
Costa Rica/Colima de Tibás/Visitas Fernando/Visita Diciembre 2013/Despedida,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Visitas Fernando/Visita Diciembre 2013/Despedida/,9.9501;-84.073
Costa Rica/Colima de Tibás/Visitas Fernando/Visita Diciembre 2013/Diego,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Visitas Fernando/Visita Diciembre 2013/Diego/,9.9501;-84.073
Costa Rica/Colima de Tibás/Visitas Fernando/Visita Diciembre 2013/Katherine 1,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Visitas Fernando/Visita Diciembre 2013/Katherine 1/,9.9501;-84.073
Costa Rica/Colima de Tibás/Visitas Fernando/Visita Diciembre 2013/Katherine 2,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Visitas Fernando/Visita Diciembre 2013/Katherine 2/,9.9501;-84.073
Costa Rica/Colima de Tibás/Visitas Fernando/Visita Diciembre 2013/Katherine 3,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Visitas Fernando/Visita Diciembre 2013/Katherine 3/,9.9501;-84.073
Costa Rica/Colima de Tibás/Visitas Fernando/Visita Diciembre 2015,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Visitas Fernando/Visita Diciembre 2015/,9.9501;-84.073
Costa Rica/Colima de Tibás/Visitas Fernando/Visita Diciembre 2017,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Visitas Fernando/Visita Diciembre 2017/,9.9501;-84.073
Costa Rica/Colima de Tibás/Visitas Fernando/Visita Diciembre 2018,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Visitas Fernando/Visita Diciembre 2018/,9.9501;-84.073
Costa Rica/Colima de Tibás/Visitas Fernando/Visita Diciembre 2021,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Visitas Fernando/Visita Diciembre 2021/,9.9501;-84.073
Costa Rica/Colima de Tibás/Visitas Fernando/Visita Diciembre 2022,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Visitas Fernando/Visita Diciembre 2022/,9.9501;-84.073
Costa Rica/Colima de Tibás/Visitas Fernando/Visita Diciembre 2024,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Visitas Fernando/Visita Diciembre 2024/,9.9501;-84.073
Costa Rica/Colima de Tibás/Visitas Fernando/Visita Diciembre 2025,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Visitas Fernando/Visita Diciembre 2025/,9.9501;-84.073
Costa Rica/Colima de Tibás/Visitas Fernando/Visita Enero 2017,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Visitas Fernando/Visita Enero 2017/,9.9501;-84.073
Costa Rica/Colima de Tibás/Visitas Fernando/Visita Julio 2012/Celular Diego,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Visitas Fernando/Visita Julio 2012/Celular Diego/,9.9501;-84.073
Costa Rica/Colima de Tibás/Visitas Fernando/Visita Julio 2012/Celular Rosibel,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Visitas Fernando/Visita Julio 2012/Celular Rosibel/,9.9501;-84.073
Costa Rica/Colima de Tibás/Visitas Fernando/Visita Julio 2012/Fiesta Artuto 60 anos,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Visitas Fernando/Visita Julio 2012/Fiesta Artuto 60 anos/,9.9501;-84.073
Costa Rica/Colima de Tibás/Visitas Fernando/Visita Julio 2012/Vacaciones 1,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Visitas Fernando/Visita Julio 2012/Vacaciones 1/,9.9501;-84.073
Costa Rica/Colima de Tibás/Visitas Fernando/Visita Julio 2012/Vacaciones 2,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Visitas Fernando/Visita Julio 2012/Vacaciones 2/,9.9501;-84.073
Costa Rica/Colima de Tibás/Visitas Fernando/Visita Julio 2012/Vacaciones 3,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Visitas Fernando/Visita Julio 2012/Vacaciones 3/,9.9501;-84.073
Costa Rica/Colima de Tibás/Visitas Fernando/Visita Julio 2012/Vacaciones 4,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Visitas Fernando/Visita Julio 2012/Vacaciones 4/,9.9501;-84.073
Costa Rica/Colima de Tibás/Visitas Fernando/Visita Julio 2016,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Visitas Fernando/Visita Julio 2016/,9.9501;-84.073
Costa Rica/Colima de Tibás/Visitas Fernando/Visita Julio 2023,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Visitas Fernando/Visita Julio 2023/,9.9501;-84.073
Costa Rica/Colima de Tibás/Visitas Fernando/Visita Marzo1 2015,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Visitas Fernando/Visita Marzo1 2015/,9.9501;-84.073
Costa Rica/Colima de Tibás/Visitas Fernando/Visita Marzo2 2015/casa,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Visitas Fernando/Visita Marzo2 2015/casa/,9.9501;-84.073
Costa Rica/Colima de Tibás/Visitas Fernando/Visita Marzo2 2015/regalos,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Visitas Fernando/Visita Marzo2 2015/regalos/,9.9501;-84.073
Costa Rica/Colima de Tibás/Visitas Fernando/Visita Septiembre 2017,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Visitas Fernando/Visita Septiembre 2017/,9.9501;-84.073
Costa Rica/Copalchí,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Paseos en bicicleta/Copalchí/,9.8199;-84.0344
Costa Rica/Escazú,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Paseos en bicicleta/Escazú/,9.916;-84.141
Costa Rica/Jardin Lankester,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Paseos en automovil/Jardin Lankester/,9.8393;-83.8901
Costa Rica/Llano Grande,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Paseos en automovil/Llano Grande/,9.9389;-83.9086
Costa Rica/Llano Grande,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Paseos en bicicleta/Llano Grande/,9.9389;-83.9086
Costa Rica/Los Chiles,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Paseos en automovil/Los Chiles/,10.9641;-84.5992
Costa Rica/Mastatal/Camara de Fer,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Mastatal/Camara de Fer/,9.6743;-84.374
Costa Rica/Mastatal/Fotos ajenas,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Mastatal/Fotos ajenas/,9.6743;-84.374
Costa Rica/Moravia/Colegio María Inmaculada,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Moravia/Colegio María Inmaculada/,9.9595;-84.0464
Costa Rica/Parque de la paz,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Paseos en bicicleta/Parque de la paz/,9.9137;-84.0719
Costa Rica/Perez Zeledon,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Paseos en automovil/Perez Zeledon/,9.3706;-83.7046
Costa Rica/Playa Grande,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Voluntariados/Playa Grande/Filmacion Canal 15/,10.3346;-85.847
Costa Rica/Playa Grande,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Voluntariados/Playa Grande/Semana Completa/,10.3346;-85.847
