Tag title,HD folder,Geographical coordinates
Belgica/Brugge,/media/patito/seagate/Personal/Fotos/Camera/Europa/Belgica/Bruges/,51.2093;3.2247
Belgica/Bruselas/EWEA - Marzo 2011,/media/patito/seagate/Personal/Fotos/Camera/Europa/Belgica/Bruselas/EWEA - Marzo 2011/,50.8503;4.3517
Belgica/Bruselas/Octubre 2007,/media/patito/seagate/Personal/Fotos/Camera/Europa/Belgica/Bruselas/Octubre 2007/,50.8503;4.3517
Belgica/Bruselas/Waudit School VKI - Febrero 2011,/media/patito/seagate/Personal/Fotos/Camera/Europa/Belgica/Bruselas/Waudit School VKI - Febrero 2011/,50.8503;4.3517
Belgica/Gent/Visita Anita - Abril 2012,/media/patito/seagate/Personal/Fotos/Camera/Europa/Belgica/Gent/Visita Anita - Abril 2012/,50.8503;4.3517
Belgica/Liege,/media/patito/seagate/Personal/Fotos/Camera/Europa/Belgica/Liege/,50.6326;5.5797
Bolivia/La Paz,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Bolivia/La Paz/,-16.4897;-68.1193
Brasil/Belo Horizonte,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Brasil/Belo Horizonte/,-19.9167;-43.9345
Brasil/Rio de Janeiro,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Brasil/Rio de Janeiro/,-22.9068;-43.1729
Canada/Magog,/media/patito/seagate/Personal/Fotos/Camera/Norteamerica/Canada/Magog/,45.3667;-72.144
Canada/Niagara Falls,/media/patito/seagate/Personal/Fotos/Camera/Norteamerica/Canada/Niagara Falls/,43.0962;-79.0377
Canada/Sault Ste. Marie/Viaje Rosibel - Agosto 2010/Fotos de Canada 1,/media/patito/seagate/Personal/Fotos/Camera/Norteamerica/Canada/Sault Ste. Marie/Viaje Rosibel - Agosto 2010/Fotos de Canada 1/,45.4215;-75.6972
Canada/Sault Ste. Marie/Viaje Rosibel - Agosto 2010/Fotos de Canada 2,/media/patito/seagate/Personal/Fotos/Camera/Norteamerica/Canada/Sault Ste. Marie/Viaje Rosibel - Agosto 2010/Fotos de Canada 2/,45.4215;-75.6972
Canada/Sault Ste. Marie/Viaje Rosibel - Agosto 2010/Fotos de Canada 3,/media/patito/seagate/Personal/Fotos/Camera/Norteamerica/Canada/Sault Ste. Marie/Viaje Rosibel - Agosto 2010/Fotos de Canada 3/,45.4215;-75.6972
Canada/Toronto,/media/patito/seagate/Personal/Fotos/Camera/Norteamerica/Canada/Toronto/,43.6532;-79.3832
Chile/Santiago,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Chile/Santiago/,-33.4489;-70.6693
Colombia/Bogotá,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Colombia/Bogotá/,4.711;-74.0721
Costa Rica/Cabo Blanco,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Voluntariados/Cabo Blanco/,9.5875;-85.0929
Costa Rica/Cahuita,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Paseos en automovil/Cahuita/,9.7385;-82.8408
